id,Movie Name,Release Date,Production Budget (USD),Domestic Gross (USD),Worldwide Gross (USD),Domestic Box Office (USD),International Box Office (USD),Worldwide Box Office (USD),Est. Domestic DVD Sales (USD),Est. Domestic Blu-ray Sales (USD),Total Est. Domestic Video Sales (USD),Opening Weekend (USD),Legs,Infl. Adj. Dom. BO (USD),Video Release,MPAA Rating,Running Time (minutes),Franchise,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Domestic Releases,International Releases,Theater counts,Domestic Share Percentage,Movie URL
11,Pirates of the Caribbean: At World’s End,2007-05-24,300000000,309420425,960996492,309420425.0,651576067.0,960996492.0,299639533.0,7627144.0,307266677.0,114732820.0,2.7,484818620.0,2007-12-04,PG-13,167,Pirates of the Caribbean,"Pirates,Visual Effects,1700s,Motion Capture Performance,Supernatural,Action Adventure",Based on Theme Park Ride,Adventure,Live Action,Historical Fiction,"Walt Disney Pictures,Jerry Bruckheimer",United States,English,"May 24th, 2007 (Wide) byWalt Disney","May 25th, 2007 (Wide), released asPirates of the Caribbean: At World’s End (パイレーツ・オブ・カリビアン　ワー)(Japan)","4,362 opening theaters/4,362 max. theaters, 6.1 weeks average run per theater",32.2,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary
12,Justice League,2017-11-13,300000000,229024295,655945209,229024295.0,426920914.0,655945209.0,32584343.0,42214834.0,74799177.0,93842239.0,2.44,275173428.0,2018-02-13,PG-13,121,DC Extended Universe,"Ensemble,D.C. Comics,Cyborg,End of the World,Secret Identity,Surprise Twist,Alien Invasion,Scene in End Credits,Slow Motion Scene,Underwater,Set in Atlantis,Kidnap,Royalty,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"DC Films,RatPac Entertainment,Atlas Entertainment,Cruel and Unusual Films",United States,English,"November 17th, 2017 (Wide) byWarner Bros.","November 13th, 2017 (Wide) (South Korea)November 15th, 2017 (Wide) (Brazil)November 15th, 2017 (Wide) (France)November 15th, 2017 (Wide) (Indonesia)November 16th, 2017 (Wide) (China)... Show all releases","4,051 opening theaters/4,051 max. theaters, 5.5 weeks average run per theater",34.9,https://www.the-numbers.com/movie/Justice-League-(2017)#tab=summary
13,Mission: Impossible Dead Reckoning Part One,2023-07-11,290000000,172640980,566644143,172640980.0,394003163.0,566644143.0,387290.0,1136343.0,1523633.0,54688347.0,3.16,172640980.0,2023-10-10,PG-13,163,Mission: Impossible,"Action Thriller,Secret Agent",Based on TV,Action,Live Action,Contemporary Fiction,"Paramount Pictures,Skydance Productions,Tom Cruise Productions",United States,English,"July 12th, 2023 (Wide) byParamount PicturesJuly 12th, 2023 (IMAX) byParamount Pictures","July 11th, 2023 (Wide), released asMission: Impossible Dead Reckoning Part One (不可能的任務：致命清算 第一章)(Taiwan)July 11th, 2023 (Wide) (Thailand)July 12th, 2023 (Wide) (Australia)July 12th, 2023 (Wide), released asMisión: Imposible - Sentencia Mortal Parte 1(Colombia)July 12th, 2023 (Wide) (Denmark)... Show all releases","4,327 opening theaters/4,327 max. theaters, 5.0 weeks average run per theater",30.5,https://www.the-numbers.com/movie/Mission-Impossible-Dead-Reckoning-Part-One-(2023)#tab=summary
14,Rogue One: A Star Wars Story,2016-12-14,280200000,533539991,1055083596,533539991.0,521543605.0,1055083596.0,18615229.0,69537810.0,88153039.0,155081681.0,3.44,659851605.0,2017-03-24,PG-13,134,Star Wars,"Prequel,Rebellion,Space Opera,Visual Effects,Prologue,Intertitle,Tortured for Information,Non-Chronological,Robot,Dream Sequence,Suicide Mission,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Elstree Studios, Hertfordshire, England,Filmed in Hertfordshire, England,Filmed in England,Filmed in United Kingdom,Filmed in Pinewood Studios, Buckinghamshire, England,Filmed in Buckinghamshire England,Filmed in Iceland,Filmed in Reynisfjara, Iceland,Filmed in Hjörleifshöfði mountain, Iceland,Filmed in Hafursey Iceland,Filmed in Mýrdalssandur, Iceland,Filmed in Krafla, Iceland,Filmed in Lake Mývatn, Iceland,Filmed in Gan, Laamu Atoll, Maldives,Filmed in Baresdhoo, Laamu Atoll, Maldives,Filmed in RAF Bovingdon, Hertfordshire, England,Filmed in Wadi Rum, Jordan,Filmed in Jordan,Filmed in Pymmes Park, London, England,Filmed in Cardington Airfield, Bedfordshire, England,Filmed in Canary Wharf London Underground station, London, England,Filmed in London, England,Filmed in Bedfordshire, England,Filmed in Laamu Atoll, Maldives,Filmed in Maldives,Heroic Adventure",Spin-Off,Adventure,"Animation,Live Action",Science Fiction,Lucasfilm,United States,English,"December 16th, 2016 (Wide) byWalt DisneyDecember 16th, 2016 (IMAX) byWalt DisneyAugust 26th, 2022 (Special Engagement) byWalt Disney","December 14th, 2016 (Wide) (Netherlands)December 14th, 2016 (Wide) (Turkey)December 15th, 2016 (Wide) (Australia)December 15th, 2016 (Wide) (Bulgaria)December 15th, 2016 (Wide) (Denmark)... Show all releases","4,157 opening theaters/4,157 max. theaters, 7.1 weeks average run per theater",50.6,https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary
15,Star Wars: The Rise of Skywalker,2019-12-18,275000000,515202542,1069951814,515202542.0,554749272.0,1069951814.0,16790616.0,51641595.0,68432211.0,177383864.0,2.9,605999942.0,2020-03-17,PG-13,142,Star Wars,"Space Opera,Robot,Good vs. Evil,Set in Outer Space,Dysfunctional Family,Intertitle,Family Affair,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Pinewood Studios, Buckinghamshire, England,Filmed in England,Filmed in Ivinghoe Beacon, Buckinghamshire, England,Filmed in County Kerry, Ireland,Filmed in Ireland,Filmed in Skellig Michael, Ireland,Filmed in Jordan,Filmed in Wadi Rum, Jordan,Filmed in Buckinghamshire England,Filmed in United Kingdom,Heroic Adventure",Original Screenplay,Adventure,"Animation,Live Action",Science Fiction,"Lucasfilm,Bad Robot,Walt Disney Pictures",United States,English,"December 20th, 2019 (Wide) byWalt DisneyDecember 20th, 2019 (IMAX) byWalt Disney","December 18th, 2019 (Wide) (China)December 18th, 2019 (Wide), released asStar Wars: L'ascesa di Skywalker(Italy)December 18th, 2019 (Wide), released asŽvaigždžių Karai. Skaivokerio iškilimas(Lithuania)December 19th, 2019 (Wide) (Australia)December 19th, 2019 (Wide) (Brazil)... Show all releases","4,406 opening theaters/4,406 max. theaters, 6.7 weeks average run per theater",48.2,https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary
16,The Marvels,2023-11-08,274800000,84500223,199706250,84500223.0,115206027.0,199706250.0,,,,46110859.0,1.83,84500223.0,2024-01-16,PG-13,105,Marvel Cinematic Universe,"Action Adventure,Alternative Dimensions / Parallel universe",Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero,Marvel Studios,United States,English,"November 10th, 2023 (Wide) byWalt DisneyNovember 10th, 2023 (IMAX) byWalt Disney","November 8th, 2023 (Wide) (Austria)November 8th, 2023 (Wide) (Belgium)November 8th, 2023 (Wide) (Denmark)November 8th, 2023 (Wide) (Finland)November 8th, 2023 (Wide), released asThe Marvels (Marvel隊長2)(Hong Kong)... Show all releases","4,030 opening theaters/4,030 max. theaters, 4.1 weeks average run per theater",42.3,https://www.the-numbers.com/movie/Marvels-The-(2023)#tab=summary
17,John Carter,2012-03-07,263700000,73058679,282778100,73058679.0,209719421.0,282778100.0,25325623.0,16663941.0,41989564.0,30180188.0,2.42,98941276.0,2012-06-05,PG-13,132,,"3-D,Rescue,Culture Clash,Civil War,War,Development Hell,Voiceover/Narration,Prologue,Intertitle,Arranged Marriage,Surprise Twist,Faked Death,Non-Chronological,Death of a Son or Daughter,Death of a Spouse or Fiancée / Fiancé,Invented Language,IMAX: DMR,Set on Mars,Motion Capture Performance,3-D - Post-production Conversion,Heroic Adventure",Based on Fiction Book/Short Story,Adventure,Live Action,Science Fiction,"Walt Disney Pictures,Jim Morris",United States,"Apache,English","March 9th, 2012 (Wide) byWalt Disney, released asJohn CarterMarch 9th, 2012 (IMAX) byWalt Disney","March 7th, 2012 (Wide) (Egypt)March 8th, 2012 (Wide) (Argentina)March 8th, 2012 (Wide) (Austria)March 8th, 2012 (Wide) (Peru)March 8th, 2012 (Wide) (Serbia and Montenegro)... Show all releases","3,749 opening theaters/3,749 max. theaters, 4.3 weeks average run per theater",25.8,https://www.the-numbers.com/movie/John-Carter-of-Mars#tab=summary
18,Batman v Superman: Dawn of Justice,2016-03-23,263000000,330360194,872395091,330360194.0,542034897.0,872395091.0,23470859.0,59025521.0,82496380.0,166007347.0,1.99,411709005.0,2016-06-28,PG-13,151,Man of SteelSupermanBatmanDC Extended Universe,"Franchise Crossover,D.C. Comics,Vigilante,Non-Chronological,Dream Sequence,Prophetic Dreams,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Warner Bros.,RatPac Entertainment,Dune Entertainment,Atlas Entertainment,Cruel and Unusual Films",United States,English,"March 25th, 2016 (Wide) byWarner Bros.March 25th, 2016 (IMAX) byWarner Bros.","March 23rd, 2016 (Wide) (Belgium)March 23rd, 2016 (Wide) (Egypt)March 23rd, 2016 (Wide) (Finland)March 23rd, 2016 (Wide) (France)March 23rd, 2016 (Wide) (Indonesia)... Show all releases","4,242 opening theaters/4,256 max. theaters, 5.9 weeks average run per theater",37.9,https://www.the-numbers.com/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary
19,Star Wars Ep. VIII: The Last Jedi,2017-12-13,262000000,620181382,1322581071,620181382.0,702399689.0,1322581071.0,24873286.0,77617001.0,102490287.0,220009584.0,2.82,743422283.0,2018-03-13,PG-13,150,Star Wars,"Space Opera,Robot,Good vs. Evil,Set in Outer Space,Dysfunctional Family,Intertitle,Family Affair,Fugitive / On the Run,Gambling,Prison Break,Twins,Death of a Sibling,Posthumous Release,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Skellig Michael, Ireland,Filmed in Ireland,Filmed in Pinewood Studios, Buckinghamshire, England,Filmed in Buckinghamshire England,Filmed in England,Filmed in United Kingdom,Filmed in Malin Head, Ireland,Filmed in County Donegal, Ireland,Filmed in Ceann Sibeal, Ireland,Filmed in County Kerry, Ireland,Filmed in Salar de Uyuni salt flats, Bolivia,Filmed in Bolivia,Filmed in Longcross Studios, Surrey, England,Filmed in Surrey, England,Heroic Adventure",Original Screenplay,Adventure,"Animation,Live Action",Science Fiction,"Lucasfilm,Walt Disney Pictures",United States,English,"December 15th, 2017 (Wide) byWalt DisneyDecember 15th, 2017 (IMAX) byWalt Disney","December 13th, 2017 (Wide) (Belgium)December 13th, 2017 (Wide) (Brazil)December 13th, 2017 (Wide) (Colombia)December 13th, 2017 (Wide) (Denmark)December 13th, 2017 (Wide) (Finland)... Show all releases","4,232 opening theaters/4,232 max. theaters, 6.7 weeks average run per theater",46.9,https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary
20,The Lion King,2019-07-11,260000000,543638043,1661454403,543638043.0,1117816360.0,1661454403.0,19959906.0,32206981.0,52166887.0,191770759.0,2.83,639783632.0,2019-10-11,PG,118,The Lion King,"Talking Animals,Animal Lead,Royalty,Accidental Death,Remake,Ensemble,Coming of Age,Revenge,Motion Capture Performance,3-D,IMAX: DMR,Family Adventure",Remake,Adventure,"Animation,Live Action",Kids Fiction,"Walt Disney Pictures,Fairview Entertainment",United States,English,"July 19th, 2019 (Wide) byWalt DisneyJuly 19th, 2019 (IMAX) byWalt Disney","July 11th, 2019 (Wide) (China)July 12th, 2019 (Wide), released asThe Lion King (2019)(Australia)July 17th, 2019 (Wide), released asЦар Лъв(Bulgaria)July 17th, 2019 (Wide) (New Zealand)July 17th, 2019 (Wide) (South Korea)... Show all releases","4,725 opening theaters/4,802 max. theaters, 8.5 weeks average run per theater",32.7,https://www.the-numbers.com/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary
21,Tangled,2010-11-24,260000000,200821936,582440151,200821936.0,381618215.0,582440151.0,170983494.0,65663692.0,236647186.0,48767052.0,4.12,274152853.0,2011-03-29,PG,101,,"Prince/Princess,Escape,Heist,Voiceover/Narration,3-D,Kidnap,Animal Lead,Dysfunctional Family,Romance,Orphan,Coming of Age,Prologue,Royalty,Road Trip,IMAX: DMR,Development Hell,3-D - Shot in 3-D,Family Adventure,Musical-Adventure",Based on Folk Tale/Legend/Fairytale,Adventure,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 24th, 2010 (Wide) byWalt DisneyFebruary 2nd, 2011 (IMAX) byWalt Disney","December 2nd, 2010 (Wide) (Lebanon)December 9th, 2010 (Wide) (Germany)February 10th, 2011 (Wide) (South Korea)November 5th, 2020 (Wide) (Australia)January 6th, 2022 (Wide) (New Zealand)... Show all releases","3,603 opening theaters/3,603 max. theaters, 9.0 weeks average run per theater",34.5,https://www.the-numbers.com/movie/Tangled#tab=summary
22,Spider-Man 3,2007-05-03,258000000,337607351,895937268,337607351.0,558329917.0,895937268.0,126617858.0,872296.0,127490154.0,151116516.0,2.23,528373065.0,2007-10-15,PG-13,139,Spider-Man,"Marvel Comics,Revenge,IMAX: DMR,Escape,Death of a Best Friend,Faulty Memory,College,College Professor,2000s,Nightclub,Hostage,Action Adventure",Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero,"Columbia Pictures,Marvel Studios,Laura Ziskin Productions",United States,English,"May 4th, 2007 (Wide) bySony PicturesMay 4th, 2007 (IMAX) bySony PicturesApril 29th, 2024 (Limited) bySony Pictures","May 3rd, 2007 (Wide) (Australia)June 20th, 2024 (Limited) (Re-release)
 (Netherlands)August 16th, 2024 (Limited) (Re-release)
 (Spain)August 16th, 2024 (Special Engagement) (2024 Re-issue, one week only)
 (United Kingdom)January 16th, 2025 (Limited) (Australia)... Show all releases","4,252 opening theaters/4,324 max. theaters, 6.5 weeks average run per theater",37.7,https://www.the-numbers.com/movie/Spider-Man-3#tab=summary
23,Black Panther: Wakanda Forever,2022-11-09,250000000,453829060,853985546,453829060.0,400156486.0,853985546.0,3967506.0,5114100.0,9081606.0,181339761.0,2.5,464192287.0,2023-02-01,PG-13,161,Marvel Cinematic UniverseBlack Panther,"Action Adventure,Sequels Without Their Original Stars,Set in Africa,Underwater,Death of a Son or Daughter,Death of a Sibling",Based on Comic/Graphic Novel,Action,"Animation,Live Action",Super Hero,Marvel Studios,United States,English,"November 11th, 2022 (Wide) byWalt Disney","November 9th, 2022 (Wide) (Austria)November 9th, 2022 (Wide) (Belgium)November 9th, 2022 (Wide) (Denmark)November 9th, 2022 (Wide) (Finland)November 9th, 2022 (Wide), released asBlack Panther : Wakanda Forever(France)... Show all releases","4,396 opening theaters/4,396 max. theaters, 8.3 weeks average run per theater",53.1,https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=summary
